name,operator,lat,lon,power_kw,connectors,date_created,date_updated
Coburg Civic Centre / Moreland City,Unknown,-37.74104152020631,144.9701497464091,50.0,3.0,2021-11-01 06:37:00+00:00,2023-07-05 19:37:00+00:00
Camberwell Supercharger,Unknown,-37.828482,145.056346,120.0,6.0,2020-04-05 08:55:00+00:00,2020-04-05 08:55:00+00:00
Monash Caufield,Unknown,-37.87609755140018,145.0437890823424,50.0,2.0,2023-07-06 13:53:00+00:00,2023-07-10 02:38:00+00:00
Bayside Gateway,Unknown,-37.900527,145.00702,75.0,6.0,2022-12-22 23:46:00+00:00,2024-06-25 11:09:00+00:00
Coburg North EV Fast Charge,Unknown,-37.71893760420672,144.9615007076203,50.0,2.0,2021-11-01 06:34:00+00:00,2023-07-15 07:27:00+00:00
Bayside Willansby Ave,Unknown,-37.90610169777272,145.00363488616335,50.0,4.0,2023-07-08 09:48:00+00:00,2023-07-10 02:38:00+00:00
Tesla Supercharger Brighton East,Unknown,-37.907528089556905,145.01117779850802,250.0,3.0,2024-06-22 11:07:00+00:00,2024-06-25 11:09:00+00:00
Toyota Altona,Unknown,-37.832781169763166,144.82753568527227,75.0,3.0,2025-01-22 05:40:00+00:00,2025-01-25 05:44:00+00:00
Hobsons Bay Civic Centre,Unknown,-37.864138,144.829593,50.0,2.0,2022-12-22 23:11:00+00:00,2023-07-05 13:15:00+00:00
Chargefox Airport West,Unknown,-37.71364567547256,144.88569078594128,350.0,8.0,2020-06-20 14:32:00+00:00,2023-07-05 13:16:00+00:00
ENGIE - Chadstone,Unknown,-37.884370226319035,145.08316779641655,100.0,4.0,2023-08-16 11:02:00+00:00,2023-08-16 11:02:00+00:00
ENGIE - Chadstone 2,Unknown,-37.88820940951108,145.08494077130194,120.0,4.0,2025-01-09 05:08:00+00:00,2025-01-23 07:44:00+00:00
Tesla Supercharger Campbellfield,Unknown,-37.68912458660884,144.95662465559099,250.0,6.0,2024-06-22 11:22:00+00:00,2024-06-25 11:24:00+00:00
Ampol Foodary Altona North,Unknown,-37.846404,144.808531,180.0,4.0,2022-12-22 23:05:00+00:00,2023-04-10 14:05:00+00:00
Bridge Street,Unknown,-37.94495495500977,145.00192929573643,180.0,2.0,2024-06-22 11:04:00+00:00,2024-06-25 11:09:00+00:00
Telsa Supercharger Box Hill,Unknown,-37.837816422984424,145.1346849142019,250.0,12.0,2024-06-22 11:09:00+00:00,2024-06-25 11:14:00+00:00
Evie Glen Gala Village,Unknown,-37.79308442111111,144.7896023171707,75.0,4.0,2025-01-22 05:47:00+00:00,2025-01-25 05:49:00+00:00
Keilor Central,Unknown,-37.726166090249,144.80818393376683,50.0,4.0,2022-12-22 22:55:00+00:00,2023-07-12 13:55:00+00:00
Tesla Supercharger Oakleigh Repair Centre,Unknown,-37.91568317695367,145.10327868938475,250.0,6.0,2025-02-02 23:44:00+00:00,2025-02-05 23:49:00+00:00
Bayside Council,Unknown,-37.95937215569076,145.01794753966965,75.0,12.0,2022-06-06 06:32:00+00:00,2023-07-05 13:15:00+00:00
Jolt Cheltenham,Unknown,-37.95675410011873,145.0413433811873,50.0,2.0,2025-02-02 23:35:00+00:00,2025-02-05 23:39:00+00:00
Uni Hill Town Centre,Unknown,-37.682971406829196,145.07101659256762,50.0,4.0,2021-11-01 06:42:00+00:00,2023-07-06 20:53:00+00:00
Research Way - N1 Carpark,Unknown,-37.90730011409977,145.13207788768955,50.0,3.0,2021-11-01 06:26:00+00:00,2021-11-02 09:30:00+00:00
Ampol Derrimut,Unknown,-37.80519464533884,144.75198926317552,180.0,2.0,2023-06-26 03:16:00+00:00,2023-07-04 03:26:00+00:00
Jolt Black Rock,Unknown,-37.97570246970103,145.01742302760965,50.0,2.0,2025-02-02 23:32:00+00:00,2025-02-05 23:34:00+00:00
BP Northpoint,Unknown,-37.64768,144.99461,150.0,8.0,2022-12-22 23:26:00+00:00,2025-01-22 10:44:00+00:00
Engie - The Glen,Unknown,-37.87707026526765,145.16444504069057,100.0,4.0,2023-07-06 23:21:00+00:00,2023-09-28 21:51:00+00:00
BP pulse Diamond Creek,Unknown,-37.680105,145.123078,75.0,2.0,2022-12-23 20:52:00+00:00,2023-07-14 22:26:00+00:00
BP Pulse,Unknown,-37.7557555131601,144.7410636793341,150.0,8.0,2025-01-22 05:10:00+00:00,2025-01-25 05:14:00+00:00
Shell Coles Express Taylors Lakes,Unknown,-37.69674197545634,144.78205236033568,350.0,4.0,2021-11-14 07:09:00+00:00,2023-07-06 20:52:00+00:00
Red Rooster Vermont,Unknown,-37.831965,145.213612,50.0,4.0,2022-12-23 20:39:00+00:00,2023-07-06 20:53:00+00:00
Ampcharge Sandown,Unknown,-37.94161999001956,145.16671110078272,180.0,2.0,2025-01-09 05:06:00+00:00,2025-01-23 07:44:00+00:00
Bay Trail,Unknown,-38.00841347461177,145.0848841496986,50.0,2.0,2024-06-22 11:02:00+00:00,2024-06-25 11:04:00+00:00
Bembit Bagrook Community Centre,Unknown,-37.82495081827982,144.6818834275545,50.0,2.0,2022-12-10 07:50:00+00:00,2022-12-22 22:58:00+00:00
Scorseby Engie,Unknown,-37.91344215822404,145.21852997218298,100.0,4.0,2023-04-08 05:37:00+00:00,2023-07-07 10:39:00+00:00
Stud Park Shopping Centre,Unknown,-37.92131128415721,145.23754907301503,50.0,4.0,2022-12-23 20:32:00+00:00,2023-07-06 20:53:00+00:00
Civic Centre,Unknown,-37.897374392712145,144.67054059560462,50.0,4.0,2023-08-23 00:56:00+00:00,2023-08-23 00:56:00+00:00
Ampcharge Werribee,Unknown,-37.899759968148494,144.6650849021937,180.0,2.0,2025-01-22 05:35:00+00:00,2025-01-25 05:39:00+00:00
Ampcharge Cheltenham,Unknown,-37.99571529046778,145.182222569087,180.0,2.0,2025-01-09 05:04:00+00:00,2025-01-23 07:44:00+00:00
bp pulse Dandenong North,Unknown,-37.970797096657705,145.22316104545723,75.0,2.0,2023-08-09 12:14:00+00:00,2023-08-09 12:14:00+00:00
Heatherton Road,Unknown,-37.97128123711468,145.2236965774951,350.0,4.0,2021-11-01 06:29:00+00:00,2023-07-06 20:53:00+00:00
Ampol Kilsyth,Unknown,-37.82365941817221,145.2959481777906,150.0,2.0,2023-09-18 14:17:00+00:00,2023-09-18 14:17:00+00:00
Evie Chelsea,Unknown,-38.054822504708284,145.11600913546908,50.0,4.0,2023-04-08 05:43:00+00:00,2023-07-06 20:53:00+00:00
Evie Chirnside Park,Unknown,-37.761143550893365,145.3120760296531,50.0,2.0,2025-02-03 00:17:00+00:00,2025-02-06 00:19:00+00:00
bp pulse Merrifield,Unknown,-37.53426998045639,144.89828573356567,75.0,4.0,2023-08-04 22:53:00+00:00,2023-08-04 22:53:00+00:00
Lollypop Creek Community Centre,Unknown,-37.909988077571576,144.61367550280465,50.0,2.0,2025-01-22 05:37:00+00:00,2025-01-25 05:39:00+00:00
McDonald’s Melton South,Unknown,-37.7224393461178,144.57233401223442,50.0,4.0,2021-11-14 07:23:00+00:00,2023-07-06 20:52:00+00:00
Local Village Carrum Downs,Unknown,-38.088427053571266,145.1825268436774,50.0,4.0,2023-07-08 10:07:00+00:00,2023-07-10 02:38:00+00:00
CTR Whittlesea,Unknown,-37.51050054135484,145.11840794982265,50.0,2.0,2022-03-06 04:47:00+00:00,2023-07-06 20:52:00+00:00
Lynbrook Village,Unknown,-38.051153,145.256504,50.0,4.0,2022-12-23 20:28:00+00:00,2023-07-06 20:53:00+00:00
ENGIE - Bayside Centre,Unknown,-38.13983274747568,145.12422212753893,50.0,2.0,2023-07-07 07:01:00+00:00,2023-07-15 07:36:00+00:00
Yarra Ranges Council,Unknown,-37.656879,145.374241,50.0,2.0,2022-12-23 20:42:00+00:00,2023-09-01 08:29:00+00:00
Engie Monash University,Unknown,-38.15200425352916,145.13493764315962,120.0,4.0,2024-03-03 05:30:00+00:00,2025-01-09 08:53:00+00:00
Evie Cranbourne Homemaker Centre,Unknown,-38.08489638497555,145.27849713747787,50.0,2.0,2024-06-22 11:13:00+00:00,2024-06-25 11:14:00+00:00
BP Pulse Cranbourne,Unknown,-38.110286646748186,145.2640707648552,75.0,2.0,2024-06-22 11:11:00+00:00,2024-06-25 11:14:00+00:00
Jolt Berwick Springs Hotel,Unknown,-38.05976565896848,145.33777518791914,50.0,2.0,2025-02-02 23:31:00+00:00,2025-02-05 23:34:00+00:00
Engie Cranbourne Park,Unknown,-38.10907515763703,145.28176239248455,120.0,4.0,2024-06-22 11:12:00+00:00,2024-06-25 11:14:00+00:00
Wallan,Unknown,-37.413967109460415,144.9791065326649,50.0,2.0,2023-10-15 11:10:00+00:00,2023-10-22 08:33:00+00:00
ClydeStone Square,Unknown,-38.09340993256419,145.34171416795755,50.0,2.0,2023-07-07 07:06:00+00:00,2023-07-10 02:38:00+00:00
Evie Mornington,Unknown,-38.22449869065465,145.03964281641652,50.0,3.0,2024-03-01 03:14:00+00:00,2024-06-25 11:04:00+00:00
Mornington Super Charger,Unknown,-38.23466432711377,145.05094693515247,250.0,6.0,2023-04-08 05:30:00+00:00,2024-06-25 11:04:00+00:00
RACV Healsville,Unknown,-37.65071911937986,145.50301488024843,50.0,7.0,2025-02-03 00:20:00+00:00,2025-02-06 00:24:00+00:00
Packenham Supercharger,Unknown,-38.06062002503898,145.45191319274613,270.0,6.0,2025-07-05 02:44:00+00:00,2025-07-08 02:49:00+00:00
Evie Healsville,Unknown,-37.65406544922198,145.51428135787194,50.0,2.0,2025-02-03 00:18:00+00:00,2025-02-06 00:19:00+00:00
North Bellarine Aquatic Centre,Unknown,-38.188088367705056,144.55520001587047,50.0,4.0,2023-09-08 03:19:00+00:00,2023-09-08 03:19:00+00:00
Victoria Street,Unknown,-37.42305178823792,144.562626054862,50.0,2.0,2023-07-08 15:04:00+00:00,2023-07-10 02:38:00+00:00
50 Learmonth Street,Unknown,-38.26770792670353,144.6589785355144,50.0,4.0,2023-07-14 14:26:00+00:00,2023-07-14 14:26:00+00:00
Evie Yarra Juncion,Unknown,-37.78094746065134,145.61331093083584,50.0,2.0,2025-01-22 23:16:00+00:00,2025-01-25 23:19:00+00:00
Geelong Supercharger,Unknown,-38.064796504586276,144.38238251338635,250.0,6.0,2023-08-31 12:09:00+00:00,2023-08-31 12:09:00+00:00
Hastings,Unknown,-38.30823,145.191932,50.0,2.0,2022-12-18 01:57:00+00:00,2023-07-10 02:38:00+00:00
Kingston Village Square,Unknown,-38.24661134219002,144.54005635897056,50.0,4.0,2022-12-18 01:39:00+00:00,2023-07-05 13:16:00+00:00
Sorrento ,Unknown,-38.33874299773124,144.73713563519414,50.0,4.0,2022-12-18 01:43:00+00:00,2023-07-06 20:53:00+00:00
Rosebud RSL,Unknown,-38.368575,144.905885,50.0,3.0,2022-12-18 01:52:00+00:00,2022-12-18 01:54:00+00:00
bp pulse Rye,Unknown,-38.37130601612926,144.8277248633259,75.0,2.0,2023-08-09 12:12:00+00:00,2023-08-09 12:12:00+00:00
Evie Barabool Heights Plaza,Unknown,-38.16095627974979,144.30595213669608,50.0,4.0,2025-01-09 04:50:00+00:00,2025-01-23 07:44:00+00:00
