name,distance_km,speed_kmph,price_basis,need_kwh,charger_kw,duration_h_base,duration_h_travel,duration_h_effective,best_price_start,best_price_mean_c_per_kwh,best_price_cost_AUD,best_price_emissions_kg,best_intensity_start,best_intensity_mean_g_per_kwh,best_intensity_cost_AUD,best_intensity_emissions_kg,cost_delta_AUD,emissions_delta_kg
Werribee,0.4,40.0,spot_c_per_kwh,20.0,7.0,2.86,0.02,2.88,2025-09-14 11:00:00+10:00,-4.371,-0.67,9.29,2025-09-08 10:00:00+10:00,235.6,-0.07,4.71,-0.6,4.58
Werribee,0.4,40.0,retailA_c_per_kwh,20.0,7.0,2.86,0.02,2.88,2025-09-14 11:00:00+10:00,12.629,2.73,9.29,2025-09-08 10:00:00+10:00,235.6,3.33,4.71,-0.6,4.58
Werribee,0.4,40.0,retailB_c_per_kwh,20.0,7.0,2.86,0.02,2.88,2025-09-14 11:00:00+10:00,12.629,2.73,9.29,2025-09-08 10:00:00+10:00,235.6,3.33,4.71,-0.6,4.58
Werribee,0.4,40.0,spot_c_per_kwh,20.0,11.0,1.82,0.02,1.84,2025-09-14 12:00:00+10:00,-4.455,-0.69,9.51,2025-09-08 11:00:00+10:00,232.9,-0.08,4.66,-0.61,4.85
Werribee,0.4,40.0,retailA_c_per_kwh,20.0,11.0,1.82,0.02,1.84,2025-09-14 12:00:00+10:00,12.545,2.71,9.51,2025-09-08 11:00:00+10:00,232.9,3.32,4.66,-0.61,4.85
Werribee,0.4,40.0,retailB_c_per_kwh,20.0,11.0,1.82,0.02,1.84,2025-09-14 12:00:00+10:00,12.545,2.71,9.51,2025-09-08 11:00:00+10:00,232.9,3.32,4.66,-0.61,4.85
Werribee,0.4,40.0,spot_c_per_kwh,20.0,50.0,0.4,0.02,0.42,2025-09-14 12:00:00+10:00,-4.455,-0.69,9.51,2025-09-08 11:00:00+10:00,233.3,-0.08,4.67,-0.61,4.84
Werribee,0.4,40.0,retailA_c_per_kwh,20.0,50.0,0.4,0.02,0.42,2025-09-14 12:00:00+10:00,12.545,2.71,9.51,2025-09-08 11:00:00+10:00,233.3,3.32,4.67,-0.61,4.84
Werribee,0.4,40.0,retailB_c_per_kwh,20.0,50.0,0.4,0.02,0.42,2025-09-14 12:00:00+10:00,12.545,2.71,9.51,2025-09-08 11:00:00+10:00,233.3,3.32,4.67,-0.61,4.84
Werribee,0.4,40.0,spot_c_per_kwh,40.0,7.0,5.71,0.02,5.73,2025-09-14 08:00:00+10:00,-3.371,-1.15,17.48,2025-09-08 09:00:00+10:00,243.6,-0.36,9.74,-0.79,7.74
Werribee,0.4,40.0,retailA_c_per_kwh,40.0,7.0,5.71,0.02,5.73,2025-09-14 08:00:00+10:00,13.629,5.65,17.48,2025-09-08 09:00:00+10:00,243.6,6.44,9.74,-0.79,7.74
Werribee,0.4,40.0,retailB_c_per_kwh,40.0,7.0,5.71,0.02,5.73,2025-09-14 08:00:00+10:00,13.629,5.65,17.48,2025-09-08 09:00:00+10:00,243.6,6.44,9.74,-0.79,7.74
Werribee,0.4,40.0,spot_c_per_kwh,40.0,11.0,3.64,0.02,3.66,2025-09-14 10:00:00+10:00,-4.178,-1.47,17.97,2025-09-08 10:00:00+10:00,236.7,-0.38,9.47,-1.09,8.5
Werribee,0.4,40.0,retailA_c_per_kwh,40.0,11.0,3.64,0.02,3.66,2025-09-14 10:00:00+10:00,12.822,5.33,17.97,2025-09-08 10:00:00+10:00,236.7,6.42,9.47,-1.09,8.5
Werribee,0.4,40.0,retailB_c_per_kwh,40.0,11.0,3.64,0.02,3.66,2025-09-14 10:00:00+10:00,12.822,5.33,17.97,2025-09-08 10:00:00+10:00,236.7,6.42,9.47,-1.09,8.5
Werribee,0.4,40.0,spot_c_per_kwh,40.0,50.0,0.8,0.02,0.82,2025-09-14 12:00:00+10:00,-4.455,-1.58,19.01,2025-09-08 11:00:00+10:00,232.9,-0.37,9.32,-1.21,9.69
Werribee,0.4,40.0,retailA_c_per_kwh,40.0,50.0,0.8,0.02,0.82,2025-09-14 12:00:00+10:00,12.545,5.22,19.01,2025-09-08 11:00:00+10:00,232.9,6.43,9.32,-1.21,9.69
Werribee,0.4,40.0,retailB_c_per_kwh,40.0,50.0,0.8,0.02,0.82,2025-09-14 12:00:00+10:00,12.545,5.22,19.01,2025-09-08 11:00:00+10:00,232.9,6.43,9.32,-1.21,9.69
Doncaster,5.7,40.0,spot_c_per_kwh,10.0,7.0,1.43,0.29,1.71,2025-09-14 12:00:00+10:00,-4.455,2.4,4.75,2025-09-08 11:00:00+10:00,233.0,2.71,2.33,-0.31,2.42
Doncaster,5.7,40.0,retailA_c_per_kwh,10.0,7.0,1.43,0.29,1.71,2025-09-14 12:00:00+10:00,12.545,4.1,4.75,2025-09-08 11:00:00+10:00,233.0,4.41,2.33,-0.31,2.42
Doncaster,5.7,40.0,retailB_c_per_kwh,10.0,7.0,1.43,0.29,1.71,2025-09-14 12:00:00+10:00,12.545,4.1,4.75,2025-09-08 11:00:00+10:00,233.0,4.41,2.33,-0.31,2.42
Doncaster,5.7,40.0,spot_c_per_kwh,10.0,11.0,0.91,0.29,1.19,2025-09-14 12:00:00+10:00,-4.455,2.4,4.75,2025-09-08 12:00:00+10:00,233.3,2.7,2.33,-0.3,2.42
Doncaster,5.7,40.0,retailA_c_per_kwh,10.0,11.0,0.91,0.29,1.19,2025-09-14 12:00:00+10:00,12.545,4.1,4.75,2025-09-08 12:00:00+10:00,233.3,4.4,2.33,-0.3,2.42
Doncaster,5.7,40.0,retailB_c_per_kwh,10.0,11.0,0.91,0.29,1.19,2025-09-14 12:00:00+10:00,12.545,4.1,4.75,2025-09-08 12:00:00+10:00,233.3,4.4,2.33,-0.3,2.42
Doncaster,5.7,40.0,spot_c_per_kwh,10.0,50.0,0.2,0.29,0.49,2025-09-14 12:00:00+10:00,-4.455,2.4,4.75,2025-09-08 11:00:00+10:00,233.2,2.71,2.33,-0.31,2.42
Doncaster,5.7,40.0,retailA_c_per_kwh,10.0,50.0,0.2,0.29,0.49,2025-09-14 12:00:00+10:00,12.545,4.1,4.75,2025-09-08 11:00:00+10:00,233.2,4.41,2.33,-0.31,2.42
Doncaster,5.7,40.0,retailB_c_per_kwh,10.0,50.0,0.2,0.29,0.49,2025-09-14 12:00:00+10:00,12.545,4.1,4.75,2025-09-08 11:00:00+10:00,233.2,4.41,2.33,-0.31,2.42
Doncaster,5.7,40.0,spot_c_per_kwh,20.0,7.0,2.86,0.29,3.14,2025-09-14 10:00:00+10:00,-4.178,2.01,8.99,2025-09-08 10:00:00+10:00,235.8,2.57,4.72,-0.56,4.27
Doncaster,5.7,40.0,retailA_c_per_kwh,20.0,7.0,2.86,0.29,3.14,2025-09-14 10:00:00+10:00,12.822,5.41,8.99,2025-09-08 10:00:00+10:00,235.8,5.97,4.72,-0.56,4.27
Doncaster,5.7,40.0,retailB_c_per_kwh,20.0,7.0,2.86,0.29,3.14,2025-09-14 10:00:00+10:00,12.822,5.41,8.99,2025-09-08 10:00:00+10:00,235.8,5.97,4.72,-0.56,4.27
Doncaster,5.7,40.0,spot_c_per_kwh,20.0,11.0,1.82,0.29,2.1,2025-09-14 11:00:00+10:00,-4.371,1.98,9.29,2025-09-08 11:00:00+10:00,233.3,2.56,4.67,-0.58,4.62
Doncaster,5.7,40.0,retailA_c_per_kwh,20.0,11.0,1.82,0.29,2.1,2025-09-14 11:00:00+10:00,12.629,5.38,9.29,2025-09-08 11:00:00+10:00,233.3,5.96,4.67,-0.58,4.62
Doncaster,5.7,40.0,retailB_c_per_kwh,20.0,11.0,1.82,0.29,2.1,2025-09-14 11:00:00+10:00,12.629,5.38,9.29,2025-09-08 11:00:00+10:00,233.3,5.96,4.67,-0.58,4.62
Doncaster,5.7,40.0,spot_c_per_kwh,20.0,50.0,0.4,0.29,0.69,2025-09-14 12:00:00+10:00,-4.455,1.96,9.51,2025-09-08 11:00:00+10:00,233.0,2.57,4.66,-0.61,4.85
Doncaster,5.7,40.0,retailA_c_per_kwh,20.0,50.0,0.4,0.29,0.69,2025-09-14 12:00:00+10:00,12.545,5.36,9.51,2025-09-08 11:00:00+10:00,233.0,5.97,4.66,-0.61,4.85
