local_time,y_true,y_hat
2025-08-30 01:00:00+10:00,485.3451163099466,501.54575893108307
2025-08-30 02:00:00+10:00,486.9537302743696,492.41040922446655
2025-08-30 03:00:00+10:00,485.5607587889292,490.9827051017003
2025-08-30 04:00:00+10:00,486.7976942506557,492.7699276884714
2025-08-30 05:00:00+10:00,490.96507414052064,489.9213390236742
2025-08-30 06:00:00+10:00,493.5551865609588,487.24779060200694
2025-08-30 07:00:00+10:00,422.40309291128847,437.67778274511716
2025-08-30 08:00:00+10:00,318.3000231258575,352.03899500090006
2025-08-30 09:00:00+10:00,289.0073684343559,277.31839629577263
2025-08-30 10:00:00+10:00,240.8053523746468,257.75996534815977
2025-08-30 11:00:00+10:00,229.2966335533704,232.86087561380822
2025-08-30 12:00:00+10:00,231.4758801576401,245.4339636361095
2025-08-30 13:00:00+10:00,238.46536806436325,255.6913170402702
2025-08-30 14:00:00+10:00,254.4577711567581,266.23161046226943
2025-08-30 15:00:00+10:00,279.6002034058365,278.06499508775295
2025-08-30 16:00:00+10:00,370.39651039065416,346.6779989396413
2025-08-30 17:00:00+10:00,502.7335185804423,454.77475653308676
2025-08-30 18:00:00+10:00,584.2549917409622,559.9615256163975
2025-08-30 19:00:00+10:00,584.2926298637124,573.74255216453
2025-08-30 20:00:00+10:00,586.1580933723905,578.031299831104
2025-08-30 21:00:00+10:00,596.11139324628,570.2399674036247
2025-08-30 22:00:00+10:00,604.3206653032747,575.1292972036113
2025-08-30 23:00:00+10:00,621.7430048528596,559.963184899085
2025-08-31 00:00:00+10:00,629.6678801120975,604.9485725495874
2025-08-31 01:00:00+10:00,655.398410804203,584.496575638538
2025-08-31 02:00:00+10:00,672.0098850282333,621.3010581139678
2025-08-31 03:00:00+10:00,675.2397351797383,666.7433329896901
2025-08-31 04:00:00+10:00,682.0082716311344,673.1758827019785
2025-08-31 05:00:00+10:00,685.4907205479996,682.3495558588985
2025-08-31 06:00:00+10:00,666.8110640937991,672.0167892945815
2025-08-31 07:00:00+10:00,584.7015603277017,589.7055413607978
2025-08-31 08:00:00+10:00,436.9218349919906,508.62554973328827
2025-08-31 09:00:00+10:00,335.795898376763,379.75938304666255
2025-08-31 10:00:00+10:00,293.14150638983045,284.09207586797004
2025-08-31 11:00:00+10:00,253.38687704749103,276.58218370119135
2025-08-31 12:00:00+10:00,248.5854444297852,265.89202544503775
2025-08-31 13:00:00+10:00,258.81109566719,263.2781158563622
2025-08-31 14:00:00+10:00,275.28086688288266,264.71096102978083
2025-08-31 15:00:00+10:00,318.6056168316064,320.77026557922045
2025-08-31 16:00:00+10:00,414.6658966463496,370.9714767587652
2025-08-31 17:00:00+10:00,599.1362981069539,552.797943171614
2025-08-31 18:00:00+10:00,597.5615218371171,622.7657541111265
2025-08-31 19:00:00+10:00,635.4582465464299,598.887909935411
2025-08-31 20:00:00+10:00,646.155612785808,645.8989636571762
2025-08-31 21:00:00+10:00,658.6458483366841,652.2241251426732
2025-08-31 22:00:00+10:00,670.0919340640567,663.6248602681227
2025-08-31 23:00:00+10:00,666.4840993850659,684.0731913799651
2025-09-01 00:00:00+10:00,682.4409015732443,661.5622460458804
2025-09-01 01:00:00+10:00,707.0064764836729,683.5004312285575
2025-09-01 02:00:00+10:00,710.0144328098105,710.7695962052768
2025-09-01 03:00:00+10:00,716.6878400985541,718.4822617361195
2025-09-01 04:00:00+10:00,712.9612618236054,715.3396738306074
2025-09-01 05:00:00+10:00,709.0298709890624,715.0195427592369
2025-09-01 06:00:00+10:00,669.5249507930087,698.5390544655
2025-09-01 07:00:00+10:00,619.2940802956425,590.6752398145226
2025-09-01 08:00:00+10:00,567.0481485103197,511.105122470504
